url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places
http://www.goodreads.com/book/show/500743.The_Wizard_Heir,The Wizard Heir,Cinda Williams Chima,1521,40582,4.14,458.0,2007,True,"['Fantasy', 'Young Adult', 'Fantasy']",0,"['Toronto, Ontario', 'Maine', 'Trinity, Ohio']"
http://www.goodreads.com/book/show/47916.Obernewtyn,Obernewtyn,Isobelle Carmody,787,11461,3.96,256.0,1987,True,"['Fantasy', 'Young Adult', 'Science Fiction']",0,[]
http://www.goodreads.com/book/show/1225621.The_Outlaw_Demon_Wails,The Outlaw Demon Wails,Kim Harrison,1286,56869,4.35,455.0,2008,True,"['Fantasy', 'Urban Fantasy', 'Fantasy']",0,"['Cincinnati, Ohio', 'Ohio']"
http://www.goodreads.com/book/show/217086.Away,Away,Amy Bloom,1971,10790,3.37,240.0,2007,False,"['Fiction', 'Historical', 'Historical Fiction']",0,[]
http://www.goodreads.com/book/show/76867.A_Darkness_More_Than_Night,A Darkness More Than Night,Michael Connelly,1931,51492,4.14,470.0,2000,True,"['Mystery', 'Fiction', 'Mystery']",1,"['Los Angeles, California']"
http://www.goodreads.com/book/show/29358.Charlie_Wilson_s_War,Charlie Wilson's War: The Extraordinary Story of How the Wildest Man in Congress and a Rogue CIA Agent Changed the History of our Times,George Crile,858,8855,3.99,560.0,2003,False,"['History', 'Nonfiction', 'Politics']",2,[]
http://www.goodreads.com/book/show/2754510-storm-born,Storm Born,Richelle Mead,1590,33278,3.87,361.0,2008,True,"['Fantasy', 'Urban Fantasy', 'Fantasy']",0,"['Tucson, Arizona', 'Otherworld']"
http://www.goodreads.com/book/show/6280379-the-children-s-book,The Children's Book,A.S. Byatt,2361,19918,3.63,675.0,2009,False,"['Fiction', 'Historical', 'Historical Fiction']",3,['England']
http://www.goodreads.com/book/show/6065215-the-strain,The Strain,Guillermo del Toro,6658,84133,3.77,403.0,2009,True,"['Horror', 'Fiction', 'Paranormal']",3,"['Manhattan, New York City, New York']"
http://www.goodreads.com/book/show/30263.Every_Which_Way_But_Dead,Every Which Way But Dead,Kim Harrison,1516,69739,4.27,501.0,2005,True,"['Fantasy', 'Urban Fantasy', 'Fantasy']",0,"['Cincinnati, Ohio', 'Ohio']"
http://www.goodreads.com/book/show/3001512-wesley-the-owl,Wesley the Owl: The Remarkable Love Story of an Owl and His Girl,Stacey O'Brien,1710,12314,4.02,230.0,2008,False,"['Nonfiction', 'Animals', 'Autobiography']",0,[]
http://www.goodreads.com/book/show/123036.Hotel_World,Hotel World,Ali Smith,565,5692,3.59,236.0,2001,False,"['Fiction', 'Contemporary', 'LGBT']",3,['England']
http://www.goodreads.com/book/show/61463.The_Winter_Queen,The Winter Queen,Boris Akunin,902,11393,3.89,256.0,1998,True,"['Mystery', 'Fiction', 'Historical']",0,"['St. Petersburg, Russia', 'Moscow', 'Russia']"
http://www.goodreads.com/book/show/40173.Are_You_There_Vodka_It_s_Me_Chelsea,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,6999,162468,3.83,264.0,2007,False,"['Humor', 'Nonfiction', 'Autobiography']",0,[]
