url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places
http://www.goodreads.com/book/show/1128178.The_Zookeeper_s_Wife,The Zookeeper's Wife,Diane Ackerman,9898,87473,3.48,368.0,2007,False,"['Nonfiction', 'History', 'War']","['Orion Book Award (2008)', ' One Book One San Diego (2009)']",['Warsaw']
http://www.goodreads.com/book/show/41038.The_Rotters_Club,The Rotters' Club,Jonathan Coe,724,12119,3.96,415.0,2001,True,"['Fiction', 'Historical', 'Historical Fiction']",['Bollinger Everyman Wodehouse Prize for Comic Fiction (2001)'],"['Midlands, England', 'Birmingham, England']"
http://www.goodreads.com/book/show/368731._A_Problem_from_Hell_,"""A Problem from Hell"": America and the Age of Genocide",Samantha Power,593,9547,4.24,620.0,2002,False,"['Nonfiction', 'History', 'Politics']","['Pulitzer Prize for General Nonfiction (2003)', ' Anisfield-Wolf Book Award (2003)', ' J. Anthony Lukas Book Prize (2003)', ' Arthur Ross Book Award for Gold Medal (2003)', ' National Book Critics Circle Award for General Nonfiction (2002)']",[]
http://www.goodreads.com/book/show/45108.Fool_s_Fate,Fool's Fate,Robin Hobb,2045,67005,4.44,914.0,2003,True,"['Fantasy', 'Fiction', 'Fantasy']",,"['Aslevjal', 'Buckkeep', 'Zylig (Out Islands port)', '…more', 'Wuislington on Out Island Mayle', '…less']"
http://www.goodreads.com/book/show/43691.The_Master,The Master,Colm Tóibín,1077,9270,3.83,339.0,2004,False,"['Fiction', 'Historical', 'Historical Fiction']","['Booker Prize Nominee (2004)', ' Stonewall Book Award for Literature (2005)', ' Los Angeles Times Book Prize for Fiction (2004)', ' Prix du Meilleur Livre Étranger for Roman (2005)', ' International Dublin Literary Award (2006)']","['London, England', 'Rye, East Sussex, England']"
http://www.goodreads.com/book/show/2173611.House_of_Many_Ways,House of Many Ways,Diana Wynne Jones,2491,31090,4.06,404.0,2008,True,"['Fantasy', 'Young Adult', 'Fiction']","[""Mythopoeic Fantasy Award Nominee for Children's Literature (2009)""]",['High Norland']
http://www.goodreads.com/book/show/161426.How_I_Live_Now,None,None,None,None,None,,None,False,[],None,[]
http://www.goodreads.com/book/show/4345498-magic-strikes,Magic Strikes,Ilona Andrews,3692,78758,4.41,310.0,2009,True,"['Fantasy', 'Urban Fantasy', 'Fantasy']",,"['Atlanta, Georgia']"
http://www.goodreads.com/book/show/36336078-call-me-by-your-name,Call Me By Your Name,André Aciman,27786,298153,4.16,248.0,2007,True,"['Fiction', 'Romance', 'LGBT']",,"['Italy', 'Italian Riviera', 'Liguria']"
http://www.goodreads.com/book/show/17231.Darkly_Dreaming_Dexter,Darkly Dreaming Dexter,Jeff Lindsay,6726,203270,3.88,288.0,2004,True,"['Fiction', 'Mystery', 'Thriller']","['Barry Award Nominee for Best Novel (2005)', ' Macavity Award Nominee for Best Mystery Novel (2005)', ' Dilys Award (2005)', ' Lincoln Award Nominee (2007)']","['Miami, Florida', 'Florida']"
